,id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
833,1254075,2021,Mumbai,24-04-2021,League,CH Morris,"Wankhede Stadium, Mumbai",KKR,RR,Rajasthan Royals,field,RR,wickets,6,134,20,N,,Navdeep Singh,S Ravi
834,1254076,2021,Mumbai,25-04-2021,League,RA Jadeja,"Wankhede Stadium, Mumbai",CSK,RCB,Chennai Super Kings,bat,CSK,runs,69,192,20,N,,AK Chaudhary,VK Sharma
835,1254077,2021,Chennai,25-04-2021,League,PP Shaw,"MA Chidambaram Stadium, Chepauk, Chennai",DC,SRH,Delhi Capitals,bat,DC,tie,,160,20,Y,,CB Gaffaney,KN Ananthapadmanabhan
836,1254078,2021,Ahmedabad,26-04-2021,League,EJG Morgan,"Narendra Modi Stadium, Ahmedabad",KXIP,KKR,Kolkata Knight Riders,field,KKR,wickets,5,124,20,N,,PR Reiffel,YC Barde
837,1254079,2021,Ahmedabad,27-04-2021,League,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",RCB,DC,Delhi Capitals,field,RCB,runs,1,172,20,N,,S Ravi,VK Sharma
838,1254080,2021,Delhi,28-04-2021,League,RD Gaikwad,"Arun Jaitley Stadium, Delhi",SRH,CSK,Sunrisers Hyderabad,bat,CSK,wickets,7,172,20,N,,C Shamshuddin,CK Nandan
839,1254081,2021,Delhi,29-04-2021,League,Q de Kock,"Arun Jaitley Stadium, Delhi",RR,MI,Mumbai Indians,field,MI,wickets,7,172,20,N,,CB Gaffaney,KN Ananthapadmanabhan
840,1254082,2021,Ahmedabad,29-04-2021,League,PP Shaw,"Narendra Modi Stadium, Ahmedabad",KKR,DC,Delhi Capitals,field,DC,wickets,7,155,20,N,,AK Chaudhary,YC Barde
841,1254083,2021,Ahmedabad,30-04-2021,League,Harpreet Brar,"Narendra Modi Stadium, Ahmedabad",KXIP,RCB,Royal Challengers Bangalore,field,KXIP,runs,34,180,20,N,,S Ravi,VK Sharma
842,1254084,2021,Delhi,01-05-2021,League,KA Pollard,"Arun Jaitley Stadium, Delhi",CSK,MI,Mumbai Indians,field,MI,wickets,4,219,20,N,,KN Ananthapadmanabhan,CK Nandan
843,1254085,2021,Delhi,02-05-2021,League,JC Buttler,"Arun Jaitley Stadium, Delhi",RR,SRH,Sunrisers Hyderabad,field,RR,runs,55,221,20,N,,C Shamshuddin,CB Gaffaney
844,1254086,2021,Ahmedabad,02-05-2021,League,MA Agarwal,"Narendra Modi Stadium, Ahmedabad",KXIP,DC,Delhi Capitals,field,DC,wickets,7,167,20,N,,AK Chaudhary,AY Dandekar
845,1254104,2021,Dubai,19-09-2021,League,RD Gaikwad,Dubai International Cricket Stadium,CSK,MI,Chennai Super Kings,bat,CSK,runs,20,157,20,N,,Nitin Menon,RK Illingworth
846,1254087,2021,Abu Dhabi,20-09-2021,League,CV Varun,"Zayed Cricket Stadium, Abu Dhabi",RCB,KKR,Royal Challengers Bangalore,bat,KKR,wickets,9,93,20,N,,CB Gaffaney,S Ravi
847,1254111,2021,Dubai,21-09-2021,League,Kartik Tyagi,Dubai International Cricket Stadium,RR,KXIP,Punjab Kings,field,RR,runs,2,186,20,N,,AK Chaudhary,MA Gough
848,1254105,2021,Dubai,22-09-2021,League,A Nortje,Dubai International Cricket Stadium,SRH,DC,Sunrisers Hyderabad,bat,DC,wickets,8,135,20,N,,KN Ananthapadmanabhan,RK Illingworth
849,1254096,2021,Abu Dhabi,23-09-2021,League,SP Narine,"Zayed Cricket Stadium, Abu Dhabi",MI,KKR,Kolkata Knight Riders,field,KKR,wickets,7,156,20,N,,S Ravi,VK Sharma
850,1254113,2021,Sharjah,24-09-2021,League,DJ Bravo,Sharjah Cricket Stadium,RCB,CSK,Chennai Super Kings,field,CSK,wickets,6,157,20,N,,AK Chaudhary,Nitin Menon
851,1254097,2021,Abu Dhabi,25-09-2021,League,SS Iyer,"Zayed Cricket Stadium, Abu Dhabi",DC,RR,Rajasthan Royals,field,DC,runs,33,155,20,N,,CB Gaffaney,UV Gandhe
